date,New York shooting,WINTER STORM snow forecast,Pro Bowl 2025,Super Bowl,Cotton Bowl tickets,Meghan Markle,Georgia,Cybertruck explosion,Skattebo,Rose Parade 2025
2024-12-02,0,0,0,41,0,1,33,0,0,0
2024-12-03,0,0,0,29,0,1,31,0,0,0
2024-12-04,4,1,0,24,0,1,33,0,0,0
2024-12-05,6,1,0,24,0,1,30,0,0,0
2024-12-06,4,0,0,34,0,1,32,0,0,0
2024-12-07,3,0,0,26,0,1,95,0,6,0
2024-12-08,2,0,0,37,0,1,100,0,3,0
2024-12-09,3,0,0,40,0,1,31,0,1,0
2024-12-10,2,0,0,30,0,1,31,0,1,0
2024-12-11,1,0,0,24,0,1,29,0,0,0
2024-12-12,0,0,0,26,0,1,29,0,0,0
2024-12-13,0,0,0,28,0,1,28,0,0,0
2024-12-14,0,0,0,25,0,1,27,0,0,0
2024-12-15,0,0,0,50,0,1,27,0,1,0
2024-12-16,1,0,0,45,0,1,29,0,0,0
2024-12-17,1,0,0,33,0,1,30,0,0,0
2024-12-18,0,0,0,28,0,1,31,0,0,0
2024-12-19,0,0,0,28,0,1,31,0,0,0
2024-12-20,0,0,0,34,0,1,30,0,0,0
2024-12-21,0,0,0,39,0,1,33,0,0,0
2024-12-22,0,0,0,54,0,1,29,0,0,0
2024-12-23,0,0,0,45,0,1,28,0,0,0
2024-12-24,0,0,1,42,0,1,26,0,0,0
2024-12-25,0,0,0,100,0,1,24,0,0,0
2024-12-26,0,0,0,67,0,1,30,0,0,0
2024-12-27,0,0,0,58,0,1,41,0,0,0
2024-12-28,0,0,1,56,0,1,37,0,0,0
2024-12-29,0,0,2,87,0,1,31,0,0,0
2024-12-30,0,0,1,78,0,1,34,0,0,0
2024-12-31,0,0,1,75,0,1,34,0,0,1
2025-01-01,1,0,1,100,3,1,57,9,22,16
2025-01-02,31,17,16,81,5,2,82,18,13,1
